title,price,price_text,shipping,condition,location,link,image_url,scraped_at
Shop on eBayOpens in a new window or tab,20.0,$20.00,N/A,Brand New,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,2025-08-25T10:07:37.944130
Shop on eBayOpens in a new window or tab,20.0,$20.00,N/A,Brand New,N/A,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,2025-08-25T10:07:37.944130
"ASUS TUF Gaming F17 FX706LI 8gb Ram, 512 SSD, i5-10300H, WIN 11, GTX1650 TiOpens in a new window or tab",198.5,$198.50,N/A,Pre-Owned,N/A,https://www.ebay.com/itm/336139674587?_skw=gaming+laptop&itmmeta=01K3FFP6DS7EYKQJAG6J71YBRC&hash=item4e437c63db:g:KdoAAeSw1D1omkA6,https://i.ebayimg.com/images/g/KdoAAeSw1D1omkA6/s-l140.webp,2025-08-25T10:07:37.944130
"MSI 1080p 15.6"" Gaming Laptop - Leopard GL65 10SCXKOpens in a new window or tab",195.0,$195.00,N/A,Pre-Owned,N/A,https://www.ebay.com/itm/267372279240?_skw=gaming+laptop&epid=15048999792&itmmeta=01K3FFP6DS25E5NBAVJFSTJAFJ&hash=item3e40a135c8:g:FNUAAeSw8fFoo9Cu,https://i.ebayimg.com/images/g/FNUAAeSw8fFoo9Cu/s-l140.webp,2025-08-25T10:07:37.944130
OMEN by HP Laptop 15-ce018dx – Gaming Laptop – Good ConditionOpens in a new window or tab,156.5,$156.50,N/A,Pre-Owned,N/A,https://www.ebay.com/itm/306459464393?_skw=gaming+laptop&itmmeta=01K3FFP6DS6BPHTNSGDAJMZVE2&hash=item475a6852c9:g:Mm4AAeSwEXJopl1I,https://i.ebayimg.com/images/g/Mm4AAeSwEXJopl1I/s-l140.webp,2025-08-25T10:07:37.944130
"Lenovo IdeaPad Pro 5 16ARH7 16""2.5K,RTX3050,AMD Ryzen5-6600HS,1T SSD,16G RAM,W11Opens in a new window or tab",123.5,$123.50,N/A,Open Box,N/A,https://www.ebay.com/itm/226935191702?_skw=gaming+laptop&itmmeta=01K3FFP6DR5V859AHYG6FSXC6Z&hash=item34d6643896:g:DI4AAeSwvzdoP6cB,https://i.ebayimg.com/images/g/DI4AAeSwvzdoP6cB/s-l140.webp,2025-08-25T10:07:37.944130
"victus gaming laptop, NVIDIA GeForce RTX 3050, 24 Gb Ram, i5 core, 512 Gb spaceOpens in a new window or tab",190.5,$190.50,N/A,Pre-Owned,N/A,https://www.ebay.com/itm/205682887059?_skw=gaming+laptop&itmmeta=01K3FFP6DSHNMJETVDEFJVR359&hash=item2fe3a7c993:g:rWoAAeSw2z9opj4-,https://i.ebayimg.com/images/g/rWoAAeSw2z9opj4-/s-l140.webp,2025-08-25T10:07:37.944130
HP Victus 15.6-inch Gaming Notebook | AMD Ryzen 5 7535HS | Radeon RX 6550M 4GBOpens in a new window or tab,135.5,$135.50,N/A,Open Box,N/A,https://www.ebay.com/itm/267376664103?_skw=gaming+laptop&itmmeta=01K3FFP6DS2VE6ZR1GYS72BW0A&hash=item3e40e41e27:g:oQoAAeSwrTdoqKQp,https://i.ebayimg.com/images/g/oQoAAeSwrTdoqKQp/s-l140.webp,2025-08-25T10:07:37.944130
Dell XPS 15 9510 RTX 3050 Ti | i7-11800H | 8GB RAM | NO SSD For Parts or RepairOpens in a new window or tab,118.5,$118.50,N/A,Parts Only,N/A,https://www.ebay.com/itm/146787849023?_skw=gaming+laptop&epid=2324320931&itmmeta=01K3FFP6DS6YJCPWY2RE2QAY7Q&hash=item222d3cd33f:g:aQIAAeSwFfNoqO2f,https://i.ebayimg.com/images/g/aQIAAeSwFfNoqO2f/s-l140.webp,2025-08-25T10:07:37.944130
MSI GS65 Stealth Gaming Laptop i7-8750H RTX 2060 32GB RAM 4TB SSD Win 11Opens in a new window or tab,157.5,$157.50,N/A,Pre-Owned,N/A,https://www.ebay.com/itm/286782117427?_skw=gaming+laptop&itmmeta=01K3FFP6DSV5YCDNVAMGQAC6C1&hash=item42c58bd633:g:~IMAAeSw3q9oqmyd,https://i.ebayimg.com/images/g/~IMAAeSw3q9oqmyd/s-l140.webp,2025-08-25T10:07:37.944130
